,lat,lon,depth,time,evid,nass,ml,sdobs,etype
123,52.1402,-176.2467,87.4343,1600099747.23827,415,4,1.07,0.1458,-
128,52.0441,-177.0522,100.0,1600141469.70542,422,13,-999.0,1.8414,-
129,54.1496,-168.3565,25.0,1600141514.89338,421,15,4.02,-1.0,-
131,52.5433,-175.8208,84.842,1600141931.09258,425,8,2.75,1.3472,-
132,51.8717,-177.1032,40.0,1600143107.25999,426,4,-999.0,-1.0,-
135,52.1579,-174.3214,16.1443,1600180884.74128,429,7,1.91,0.3912,-
140,50.8645,-175.5465,100.0,1600246531.61858,435,12,3.12,1.35,-
141,53.7582,-167.8001,99.9367,1600246556.80464,436,8,2.04,0.8636,-
142,54.0033,-166.0355,15.2183,1600249233.57773,437,4,-999.0,0.1527,-
145,51.6037,-174.2274,29.6117,1600279414.76737,440,5,-999.0,0.2287,-
146,51.8751,-177.3983,37.0326,1600313408.71206,441,6,-999.0,0.9537,-
147,51.2592,-175.907,99.9434,1600313856.94721,442,6,2.39,1.0006,-
148,52.0096,-176.08,16.7437,1600322002.30434,443,4,0.97,0.0194,-
149,51.8612,-176.1348,41.6922,1600322770.86396,444,4,1.93,0.0953,-
150,54.0197,-165.6876,22.315,1600329143.53348,445,9,2.01,0.8516,-
151,51.9684,-175.9412,32.8266,1600329233.15487,446,7,1.76,0.467,-
152,52.605,-177.184,99.9934,1600339403.92812,448,7,2.57,1.4754,-
153,53.75,-167.6884,25.4125,1600339444.98401,449,5,2.11,0.3336,-
154,52.6413,-177.3469,15.4658,1600343031.76809,450,4,2.36,0.896,-
155,51.7158,-177.1956,7.5743,1600366776.68445,451,9,1.84,0.1932,-
159,52.3166,-174.5059,1.413,1600402344.70992,457,4,0.8,0.2134,-
160,54.0387,-166.0455,26.1242,1600423105.59505,458,5,1.19,0.2826,-
162,53.7297,-167.9408,99.9981,1600455283.19107,460,7,1.74,0.8428,-
163,53.8868,-166.2363,34.4168,1600500384.29703,461,4,-999.0,0.3069,-
167,52.2119,-174.0428,1.8838,1600552956.91178,465,5,1.02,0.4429,-
168,51.7781,-177.2485,16.9803,1600564073.67953,466,7,1.41,0.8346,-
169,53.9082,-165.6654,32.6957,1600567683.20661,467,11,2.37,0.361,-
171,54.0074,-165.9899,19.9035,1600656725.10615,469,9,1.35,0.7508,-
177,53.9949,-165.8537,14.8876,1600751756.1764,476,11,2.32,0.6337,-
178,51.7504,-177.194,19.8464,1600765918.98278,477,6,1.49,0.5092,-
180,51.8276,-176.3869,15.0,1600782473.09911,479,4,1.08,-1.0,-
181,52.3172,-174.1214,1.2597,1600783575.21893,480,4,-999.0,0.0788,-
186,54.1534,-165.9315,25.4197,1600851798.40748,485,4,-999.0,0.246,-
189,51.7066,-177.277,17.2853,1600891130.56972,488,8,1.85,0.3988,-
192,50.9951,-174.0724,0.0,1600935174.64096,491,11,2.27,0.7878,-
193,51.6618,-177.1608,18.6871,1600938456.55541,492,8,1.35,0.4172,-
195,54.0636,-165.8786,24.4758,1600960219.30143,494,7,1.6,0.377,-
196,52.0114,-176.2896,18.4703,1600960310.75113,495,6,-999.0,1.2752,-
198,51.8636,-177.2461,27.1117,1600975442.87492,497,24,2.6,0.6367,-
203,51.8784,-175.5386,30.8663,1600981895.40428,503,4,1.59,0.2133,-
205,51.853,-177.2791,0.0,1600982713.72685,505,5,1.1,0.5722,-
206,51.5722,-177.2808,19.9958,1600982697.29973,506,4,-999.0,0.1356,-
207,51.8858,-177.0938,19.9537,1600991341.6507,507,4,0.44,0.0803,-
209,54.1515,-165.9167,32.1721,1601013542.32121,509,9,-999.0,0.5935,-
210,52.0765,-173.4496,32.7459,1601013609.39623,510,9,3.15,1.0336,-
211,51.8717,-177.1032,20.0,1601023656.5475,511,4,-999.0,-1.0,-
214,51.8367,-177.2317,100.0,1601052802.47579,514,9,1.08,1.4559,-
217,52.201,-174.1921,25.0,1601082477.89499,517,7,-999.0,-1.0,-
219,51.5929,-177.7122,50.0,1601090203.38538,519,7,2.04,-1.0,-
220,52.5581,-175.9225,86.7541,1601091172.48246,520,4,1.99,0.9707,-
221,51.574,-177.3037,13.5028,1601102586.53559,521,5,1.25,0.716,-
222,52.0512,-176.2111,8.0505,1601102562.05314,522,4,0.29,0.0885,-
223,54.0711,-165.8846,25.7532,1601105355.12942,523,7,-999.0,0.2761,-
224,54.1507,-165.8768,1.9365,1601105372.18417,524,6,1.36,0.3083,-
225,52.0221,-176.1656,0.3219,1601110222.42325,525,6,0.52,0.3585,-
227,51.9069,-176.73,100.0,1601122183.5306,527,8,-999.0,3.3718,-
232,52.1649,-174.4859,7.0988,1601187617.61239,533,4,1.94,0.1274,-
235,52.1486,-174.294,18.7184,1601191527.51997,538,9,-999.0,0.6756,-
236,52.0746,-176.1721,14.9212,1601191545.51809,539,5,0.57,0.2991,-
238,51.2946,-174.5193,7.8351,1601200326.7615,541,8,2.69,1.0637,-
239,53.8662,-166.8046,100.0,1601200304.01535,542,6,-999.0,0.3592,-
254,51.6597,-177.1499,23.1824,1601465167.7208,558,4,1.51,0.4741,-
