,lat,lon,depth,time,evid,nass,ml,sdobs,etype
171,61.2749,-149.926,36.5575,1543599336.89994,304,71,5.93,0.6514,-
186,61.5741,-149.9601,17.8416,1543599921.43058,363,5,3.76,0.4123,-
191,61.4999,-149.7172,79.4263,1543600328.85019,372,6,3.21,0.4321,-
203,61.3452,-149.9966,0.268,1543600635.78645,404,7,3.66,2.0393,-
209,61.4198,-149.9275,76.5047,1543601030.24606,423,12,3.04,1.6186,-
218,61.4802,-149.8557,23.6646,1543601331.63155,441,39,3.33,1.1173,-
267,61.4359,-149.9168,3.129,1543603187.12397,580,79,3.95,1.5543,-
272,61.3832,-150.1233,23.5126,1543603319.68958,593,17,2.74,0.6508,-
284,61.5107,-150.1068,9.1417,1543603375.18664,602,23,3.04,0.9277,-
310,61.3415,-149.8932,3.3459,1543604263.49772,714,12,3.29,1.1225,-
319,61.4137,-149.9137,0.0305,1543604046.68363,731,13,2.58,0.7182,-
321,61.4094,-149.9054,36.0326,1543604746.22267,736,9,2.64,0.8298,-
323,61.535,-149.8617,36.9491,1543604823.1816,739,7,3.75,0.724,-
329,61.3797,-150.0524,14.99,1543604798.35735,734,67,3.67,0.7902,-
335,61.5312,-149.7719,30.1538,1543605362.08682,786,12,3.04,0.9196,-
343,61.2147,-150.2441,99.0768,1543605611.70262,804,14,3.56,0.7023,-
346,61.5013,-149.206,8.9093,1543605589.0795,819,7,4.04,1.0639,-
350,61.463,-149.8886,36.2471,1543605323.56102,783,14,-999.0,0.5491,-
353,61.5507,-150.321,12.3576,1543605920.4481,829,7,3.2,0.5991,-
360,61.4033,-150.1483,30.9064,1543606133.80514,863,7,3.74,0.7205,-
364,61.5689,-149.4738,9.6445,1543606275.54155,874,9,3.67,0.7636,-
365,61.5602,-150.0752,35.7406,1543605775.65255,822,21,3.08,0.6381,-
378,61.3339,-149.9314,35.9923,1543606888.12953,913,35,3.0,0.9111,-
384,61.5131,-149.9382,32.325,1543607257.54434,936,8,-999.0,0.5751,-
386,61.5818,-150.2963,53.3145,1543606758.96867,946,11,3.51,0.6095,-
398,61.2929,-149.249,99.9391,1543607673.51167,975,8,3.01,1.4159,-
412,61.5171,-149.8537,91.422,1543608067.10076,1009,9,2.77,1.8301,-
419,61.467,-150.3215,0.0,1543608292.12381,1032,8,2.7,0.9149,-
426,61.387,-150.3462,65.929,1543608425.17044,1040,59,3.68,1.1031,-
458,61.3667,-150.1252,26.3665,1543610267.49159,1157,19,2.54,0.7943,-
463,61.4662,-149.9583,29.8195,1543610493.1955,1173,8,-999.0,0.4098,-
468,61.366,-149.9845,48.4589,1543610742.80512,1189,9,-999.0,0.2251,-
476,61.5399,-149.21,13.1833,1543610730.65881,1193,11,2.98,0.748,-
493,61.5863,-149.47,25.1577,1543611404.52246,1252,16,3.17,0.7025,-
495,61.4725,-149.9721,32.5123,1543611748.90613,1284,5,2.0,0.3871,-
497,61.4938,-150.0746,34.9455,1543611796.30099,1286,12,2.01,0.5549,-
501,61.5161,-150.4297,40.1019,1543611311.96812,1241,8,1.79,1.9688,-
503,61.4323,-150.0667,13.502,1543611957.44833,1294,13,2.56,0.6558,-
515,61.4075,-150.1153,14.5714,1543612276.35789,1317,66,3.61,0.8849,-
537,61.4719,-149.876,2.754,1543613368.32673,1394,10,1.89,1.0697,-
538,61.4363,-149.9003,33.5015,1543613411.84201,1399,8,1.65,0.3112,-
553,61.5066,-150.0063,34.884,1543613475.63526,1397,11,-999.0,0.6874,-
578,61.2966,-150.1501,41.1552,1543615156.37546,1534,13,2.15,0.7258,-
581,61.6109,-149.5989,99.9653,1543615414.67455,1555,7,2.32,2.425,-
591,61.5848,-149.6539,24.1348,1543615741.63026,1583,8,2.9,0.6701,-
601,61.4258,-150.0908,25.4422,1543616135.81542,1603,8,2.05,1.0472,-
604,61.4528,-150.0548,35.8433,1543616213.50913,1611,9,1.88,0.3212,-
609,61.4669,-149.4722,82.4175,1543616580.56798,1632,16,-999.0,1.8102,-
612,61.4231,-149.9251,8.3529,1543616752.45438,1654,11,1.96,0.6685,-
618,61.4355,-149.8619,34.3104,1543616951.97421,1670,8,-999.0,0.5645,-
628,61.3873,-150.1272,36.1462,1543617255.41387,1693,11,1.88,0.7752,-
634,61.5025,-150.1194,0.3417,1543617471.37251,1707,7,2.77,0.9056,-
639,61.4643,-149.8254,43.864,1543617717.13287,1717,16,2.02,0.7146,-
642,61.4671,-149.8998,12.3436,1543617826.07801,1723,12,2.51,0.7611,-
643,61.347,-150.0217,35.0647,1543617927.36152,1726,13,2.04,0.5755,-
646,61.3717,-149.6622,93.9246,1543617708.77256,1731,6,2.01,1.5959,-
649,61.5314,-150.1135,40.1719,1543618034.70061,1735,7,1.18,0.5139,-
650,61.2329,-149.3863,0.089,1543617796.8477,1732,8,2.54,1.1987,-
651,61.2411,-149.8743,15.8563,1543618090.28033,1739,18,2.0,0.8239,-
655,61.572,-149.9024,36.7064,1543618353.38179,1754,24,3.34,0.8049,-
661,61.3557,-150.2614,41.1133,1543618559.69286,1769,7,-999.0,0.4882,-
663,61.5081,-149.9265,30.9533,1543618683.43937,1776,9,2.17,0.5158,-
665,61.3524,-150.0128,34.8824,1543618707.84135,1774,27,2.3,0.9713,-
687,61.4362,-150.116,34.2372,1543619895.38607,1855,20,2.13,1.145,-
695,61.4066,-149.9869,58.1558,1543620193.91024,1874,5,1.85,0.1921,-
700,61.0715,-149.9907,22.9196,1543620073.89982,1883,8,2.73,1.1385,-
