,lat,lon,depth,time,evid,nass,ml,sdobs,etype,Annotated
1059,61.3931,-149.9784,37.6097,1543637009,3041,33,1.93,0.8505,-,earthquake
1076,61.5323,-149.8906,35.2077,1543637893,3090,18,2.23,0.7943,-,"earthquake — two overlapping events (second event), kind of a mess"
1080,61.1869,-150.3645,22.3123,1543638106,3104,13,1.61,1.3989,-,earthquake
1084,61.2169,-150.4022,0.6419,1543638405,3125,6,1.95,1.5941,n,P-detection placed on ? signal and S-detection placed on P-arrival (few associations)
1088,61.5067,-149.9517,16.9886,1543638411,3129,27,2.12,1.0846,-,"earthquake — mixed with the noise signal above, however is a real event"
1096,61.4756,-149.619,66.4736,1543638894,3157,14,2.02,1.1563,-,earthquake
1106,61.3979,-150.0465,34.6483,1543639542,3193,22,1.53,0.5452,-,earthquake
1113,61.4569,-149.1334,100,1543639876,3207,4,-999,0.6865,D,"Duplicate signals of evids #3209, 3205"
1118,61.6004,-149.6028,51.1538,1543639984,3220,26,3.02,0.7227,D,Duplicate of MATCHED evid #3215
1120,61.4875,-149.9358,38.3916,1543640220,3238,11,2.51,0.9057,-,earthquake
1127,61.4536,-149.9283,0.045,1543640559,3258,9,2.09,1.0996,D,Duplicate of MATCHED evid #3253
1129,61.3609,-149.9761,36.4146,1543640730,3265,8,2.08,0.1791,-,earthquake — P-only location
1139,61.4147,-150.1167,36.0799,1543641176,3286,22,1.8,0.576,-,earthquake
1143,61.4864,-149.9387,88.279,1543641361,3302,6,-999,0.2161,-,earthquake — P-only location + burried in coda of larger event (small)
1157,61.4706,-149.9396,32.9229,1543641914,3342,10,-999,0.6529,-,earthquake — missing many clear detections
1162,61.4843,-150.0819,40.493,1543642546,3380,8,2.09,0.3518,-,earthquake — small + in coda of larger event
1163,61.6109,-149.4763,0.2826,1543642319,3371,13,4.59,1.8675,D,Duplicate of MATCHED evid #3360
1176,61.4473,-150.0924,46.2677,1543643127,3408,6,-999,0.097,-,earthquake — P-only location + burried in coda of larger event (small)
1179,61.477,-150.2285,36.4919,1543643221,3419,9,1.75,1.2209,n,noise: inbetween two visible events. Few extra P's with S-arrivals put on P of nex event
1195,61.4283,-150.1166,37.2139,1543644153,3465,17,1.5,0.5529,-,earthquakes
1203,61.4575,-150.1844,31.3698,1543644347,3479,6,1.77,0.533,-,earthquake — missing many clear detections
1208,61.4709,-149.9178,34.9478,1543644843,3495,80,3.25,0.6859,D,Duplicate of MATCHED evid #3505
1216,61.4637,-149.8845,0.014,1543644686,3533,17,2.31,0.6366,D,Duplicate of MATCHED evid #3488
1228,61.4216,-150.2161,35.1038,1543646235,3575,12,1.95,0.4972,D,Duplicate of MATCHED evid #3574 (same signal)
1236,61.101,-149.7827,98.6839,1543646648,3589,7,-999,0.8843,D,Duplicate of MATCHED evid #3591
