,lat,lon,depth,time,evid,nass,ml,sdobs,etype
1304,61.4049,-150.1301,14.4893,1543660782.7517,9308,40,2.62,0.7859,-
1325,61.3914,-150.0782,17.2758,1543662161.42203,9360,16,1.74,0.8381,-
1356,61.5826,-149.8159,80.0,1543664308.22931,9437,4,1.59,-1.0,-
1386,61.2715,-150.338,100.0,1543666496.81258,9523,7,1.99,1.1416,-
1391,61.2206,-149.4229,59.7825,1543666967.00578,9537,4,2.39,0.2322,-
1405,61.505,-150.1291,34.4665,1543668264.10131,9575,4,-999.0,0.4979,-
1420,61.4706,-149.9099,35.2197,1543669137.46871,9611,14,2.39,0.9252,-
1504,61.4581,-149.9857,41.5878,1543673524.55778,9811,14,2.04,0.7798,-
1505,61.3734,-149.4385,30.2587,1543673627.22784,9821,4,2.13,0.0121,-
1538,61.6017,-150.3156,96.414,1543676859.00047,9906,6,1.95,0.721,-
1548,61.2128,-149.8194,0.0764,1543677310.51347,9935,4,2.26,0.4229,-
1550,61.4747,-149.9147,36.1486,1543677700.90973,9941,11,2.85,0.77,-
1558,61.4714,-150.0156,11.2068,1543677513.68948,9931,52,2.47,0.7246,-
1586,61.1876,-149.7125,5.9204,1543679233.27511,10026,4,2.66,0.5259,-
1588,61.4854,-149.9178,36.0748,1543679777.38352,10019,11,2.81,0.6359,-
1616,61.3957,-149.9168,15.4133,1543681742.80496,10121,17,2.25,0.8633,-
1631,61.3258,-149.9184,3.8849,1543682111.64204,10138,5,2.0,0.4031,-
1641,61.3951,-149.9056,13.7282,1543683624.37113,10201,14,1.88,0.7274,-
1660,61.3877,-149.9501,0.0284,1543684781.20592,10233,31,2.5,0.9661,-
1665,61.3356,-150.0789,35.0334,1543685370.24646,10250,7,1.72,0.3951,-
