,lat,lon,depth,time,evid,nass,ml,sdobs,etype
385,60.4624,-140.6422,38.862,1665782667.98052,985,5,1.24,1.2124,-
386,60.5778,-142.6136,40.7296,1665802423.4725,986,4,1.04,0.3964,-
389,60.5385,-144.3414,13.5957,1665816782.52903,990,7,2.03,0.4525,-
392,61.084,-144.7472,14.8123,1665831650.24372,993,9,1.84,0.8299,-
393,60.4877,-144.6871,21.8145,1665835720.58289,994,18,2.15,0.7699,-
394,60.631,-144.6281,15.939,1665838272.42559,995,14,2.47,0.9628,-
395,60.8038,-144.8021,0.0957,1665838750.35207,996,12,2.49,0.8961,-
397,60.6001,-143.2297,13.2633,1665902346.03021,998,5,1.38,0.5917,-
398,61.0433,-142.0531,0.0,1665909973.39365,999,4,-999.0,1.0794,-
403,60.8797,-144.5613,24.2305,1665993905.1403,1004,4,-999.0,0.0079,-
404,60.8236,-144.9111,16.3864,1665998380.31656,1005,5,1.83,0.159,-
407,61.2366,-141.4814,26.0056,1666025910.03128,1008,8,1.83,0.4897,-
410,59.9744,-141.3617,0.4247,1666048380.98138,1011,5,1.83,0.3439,-
411,60.3181,-143.2922,25.0,1666052262.60011,1012,4,0.82,-1.0,-
416,60.7426,-144.4354,1.1816,1666088708.07485,1018,4,2.43,0.8112,-
419,61.0666,-144.0624,100.0,1666154801.59479,1021,7,1.92,1.5195,-
420,60.9528,-144.7335,27.9778,1666170066.24918,1022,5,-999.0,0.2909,-
422,60.4587,-141.6,3.5945,1666257588.16386,1024,4,-999.0,0.0374,-
424,61.1441,-143.9417,0.2994,1666265700.48465,1026,5,1.85,0.7454,-
425,60.0652,-141.3556,99.9059,1666267678.93281,1027,13,2.58,0.5968,-
426,60.5239,-140.3557,7.833,1666267668.29128,1028,7,3.31,0.5508,-
427,59.8066,-138.3854,4.6429,1666267664.23709,1029,4,3.19,0.6039,-
429,60.703,-144.6387,18.2641,1666286534.50618,1031,18,2.21,0.6078,-
430,60.5527,-143.6471,24.7302,1666286542.46203,1032,15,1.9,0.7317,-
431,60.6403,-143.5513,92.638,1666344638.85919,1033,4,1.9,1.2678,-
433,61.1049,-143.4689,30.6877,1666364135.82181,1035,10,2.01,0.8519,-
434,60.4129,-144.8985,15.0,1666364136.06968,1036,4,1.51,-1.0,-
438,60.6569,-143.4173,35.943,1666409712.35488,1040,6,-999.0,0.3828,-
440,61.1443,-144.5078,180.0,1666416500.44006,1042,4,-999.0,-1.0,-
441,60.7259,-144.633,16.6866,1666436015.72378,1043,19,1.98,0.5933,-
442,60.5156,-141.8023,40.0,1666462542.08172,1044,4,-999.0,-1.0,-
444,60.614,-144.9551,32.4772,1666482520.83936,1046,12,1.83,0.5253,-
445,59.6449,-142.4865,0.0,1666483510.11621,1048,4,1.87,0.1821,-
446,61.1084,-144.743,25.0,1666494994.74476,1049,4,-999.0,-1.0,-
447,60.4763,-144.6765,8.7094,1666499492.58511,1050,16,1.47,1.4939,-
448,60.7097,-144.5194,100.0,1666523347.88632,1051,20,2.28,1.4811,-
449,60.126,-144.3424,10.1471,1666531543.21148,1052,5,-999.0,0.2634,-
450,59.7799,-142.8316,0.0,1666543043.60404,1053,4,1.98,0.4093,-
451,60.6987,-144.5597,100.0,1666556307.7448,1054,9,1.97,0.9516,-
452,60.6877,-142.7793,41.1203,1666556320.93013,1055,7,1.24,0.8711,-
454,60.8676,-144.0183,100.0,1666577910.8097,1057,11,1.99,1.9182,-
455,60.9772,-140.9304,7.0087,1666592264.29071,1058,8,1.76,0.675,-
456,60.1632,-143.4609,100.0,1666598568.13566,1059,18,2.52,2.0215,-
457,60.9317,-144.9917,17.7771,1666610890.69165,1060,4,-999.0,0.285,-
458,60.2695,-144.5485,99.8433,1666631104.34915,1061,5,2.06,1.0212,-
459,59.7177,-143.2563,0.0,1666634169.21635,1062,6,2.42,0.9118,-
461,60.617,-142.4154,43.9304,1666657944.86564,1064,11,1.99,0.5553,-
462,60.4419,-138.5311,29.4787,1666657938.41894,1065,4,2.54,0.6048,-
463,60.5156,-141.8023,40.0,1666704779.33768,1066,6,1.37,-1.0,-
464,60.7012,-144.3247,100.0,1666710640.22091,1067,22,2.71,1.8666,-
466,60.8934,-144.7949,21.5634,1666724789.17897,1069,11,1.61,0.9254,-
468,60.7685,-144.9712,96.1366,1666742885.93942,1071,4,1.71,0.792,-
475,61.1609,-144.8638,37.4048,1666761986.09126,1079,16,2.35,0.7482,-
476,60.6023,-144.6487,29.0421,1666776788.38989,1080,10,2.43,0.8086,-
478,60.5679,-141.1924,57.4128,1666835568.90471,1083,4,1.11,0.2119,-
479,60.3868,-144.4947,21.4869,1666859739.56875,1084,9,-999.0,0.4877,-
480,61.1059,-144.6977,100.0,1666865873.05077,1085,8,2.31,1.1814,-
483,60.998,-144.5607,15.0,1666966764.49791,1088,4,-999.0,-1.0,-
