,lat,lon,depth,time,evid,nass,ml,sdobs,etype,Annotation
107,61.0033,-144.3463,2.1433,1663112549,681,4,-999,1.1564,-,regional earthquake (P-only location)
108,60.7289,-144.1697,100,1663129004,682,10,1.96,1.6063,nT,teleseismic signal
109,60.7267,-143.6897,100,1663132799,683,5,1.92,1.2097,nT,teleseismic signal
110,60.1236,-142.5132,99.6877,1663154193,684,10,2.65,0.5511,nT,teleseismic signal
111,60.4665,-140.5761,14.5749,1663174164,686,4,-999,0.06,-,earthquake
112,60.0773,-140.7832,17.3252,1663178614,687,8,1.51,0.8219,-,earthquake
113,61.2132,-144.9771,34.0647,1663191927,688,16,2.22,0.7533,-,regional earthquake (P-only location)
114,60.545,-143.6441,0.4376,1663197016,689,6,1.43,0.4318,lf_G,low-frequency Glacial-quake
115,60.7137,-144.6353,15.6568,1663206659,690,6,1.49,0.9347,-,earthquake
116,59.9771,-141.3528,17.582,1663233520,691,7,1.46,0.9758,-,earthquake
117,60.4514,-141.2063,4.0098,1663233527,692,6,-999,0.7119,D,duplicate of evid #691
118,60.2498,-144.1652,99.8536,1663250813,693,15,2.28,0.9058,nT,teleseismic signal
119,60.0849,-142.9088,0.4303,1663257167,695,4,1.78,0.9971,hf_G,high-frequency Glacial-quake
121,60.1886,-141.4973,10,1663262955,698,5,0.98,-1,-,earthquake (small)
122,60.1566,-141.1004,25,1663291246,699,4,0.83,-1,-,earthquake (small)
126,61.1546,-144.5146,5.953,1663330337,703,6,-999,0.9696,-,earthquake (P-only location)
127,59.9057,-140.3727,13.3289,1663340387,704,5,1.67,0.2913,-,earthquake
128,60.3584,-144.4351,32.7511,1663382715,705,19,2.29,0.6583,-,regional earthquake (P-only location)
132,60.3507,-144.3363,27.1877,1663422273,709,7,1.42,0.6066,-,regional earthquake (P-only location)
133,59.6428,-144.8737,81.6419,1663422263,710,12,1.94,0.883,D,duplicate of eivd #709
135,60.9232,-144.2784,100,1663422749,712,8,2.54,1.3089,nT,teleseismic signal
136,60.3513,-143.8485,1.432,1663429875,713,10,1.24,0.3456,lf_G,low-frequency Glacial-quake
139,60.3163,-142.2772,16.9269,1663458890,716,4,0.79,0.0243,-,earthquake (small)
142,59.8747,-140.1596,0.1515,1663489094,721,6,2.21,1.1006,n,combined impulsive noise — possibly decaying teleseismic
143,61.3382,-143.4386,27.413,1663494671,722,5,1.99,1.0556,nT,teleseismic signal
144,60.0788,-143.1681,100,1663494832,723,10,2.04,1.2665,nT,teleseismic signal
145,60.4427,-141.201,7.8165,1663494830,724,5,-999,1.0616,D,duplicate of evid #723
149,61.4891,-144.2367,16.0184,1663550184,728,21,3.09,0.7967,nT,teleseismic signal
150,60.3318,-143.5725,100,1663553933,730,8,2.1,1.6165,nT,teleseismic signal
151,60.4237,-143.4331,1.8223,1663556098,731,6,0.97,0.9534,-,earthquake (small)
152,60.1806,-141.5026,0.0321,1663562945,732,5,1.2,0.7428,lf_G,low-frequency Glacial-quake
153,59.7181,-138.0127,40.7029,1663568610,733,4,-999,0.8322,nT,teleseismic signal
154,60.9294,-142.9436,43.9518,1663576081,734,13,1.65,0.8828,-,regional earthquake (P-only location)
156,60.9186,-144.6698,13.8701,1663591613,737,5,-999,0.4574,lf_G,low-frequency Glacial-quake
157,60.3693,-144.7613,100,1663606932,738,4,2.39,1.0573,n,combined impulsive noise
159,60.2276,-141.5353,79.5286,1663611231,740,16,3.32,1.1732,nT,teleseismic signal
160,60.0451,-138.3062,62.8808,1663611219,741,5,3.6,0.8126,D,duplicate of evid #740
161,60.4844,-141.4011,40,1663616367,742,9,1.47,-1,nT,teleseismic signal
162,59.9771,-138.1092,40,1663616351,743,4,-999,-1,D,duplicate of evid #742
163,59.7941,-141.6226,40,1663616362,744,11,2.46,-1,D,duplicate of evid #742
166,61.0673,-144.5404,16.3991,1663624132,748,7,1.61,0.8201,-,earthquake
168,60.6731,-142.7664,33.2717,1663634314,750,6,-999,1.08,n,combined impulsive noise — possibly decaying teleseismic
169,59.5873,-140.5676,23.9069,1663662345,751,11,2.66,0.9405,nT,teleseismic signal
171,60.4301,-143.4665,40,1663663170,753,13,2.36,-1,D,duplicate of MATCHED evid #752 (farther regional earthquake)
173,59.9935,-140.9172,99.9014,1663671117,755,4,-999,0.5622,n,combined impulsive noise
175,60.5582,-140.561,34.4023,1663698563,757,4,-999,0.989,D,duplicate of evid #756
179,59.3771,-142.7549,39.6978,1663726674,762,15,2.64,0.8551,-,earthquake (P-only location)
181,61.1696,-143.8719,25.2447,1663733000,764,9,2.52,0.5684,D,duplicate of MACTHED evid #763 (regional earthquake)
182,60.3768,-143.2274,31.0604,1663745824,765,8,1.73,0.5869,-,earthquake
184,60.4923,-144.0862,95.4324,1663753363,767,5,2.03,1.849,n,combined impulsive noise — possibly decaying teleseismic
185,60.9584,-143.9482,22.5099,1663802861,768,4,1.52,0.384,-,earthquake
186,59.994,-141.2139,99.5275,1663827091,769,4,2.01,0.9231,-,earthquake (small)
187,59.7463,-141.2824,100,1663827888,770,14,2.96,0.766,nT,teleseismic signal
188,60.8072,-142.3268,20.1046,1663827893,771,7,2.7,0.8049,D,duplicate of evid #770
190,60.4912,-141.3995,1.5935,1663842701,773,4,-999,0.6995,n,combined impulsive noise
191,61.2033,-141.1837,27.297,1663864149,774,9,1.51,0.7441,-,earthquake
192,60.5399,-142.4082,23.269,1663865890,775,4,0.33,0.1779,-,earthquake
193,60.5138,-141.6126,38.8719,1663871366,776,4,1.17,0.6074,-,earthquake
195,60.235,-141.4777,10.8888,1663878928,778,8,1.38,0.59,-,earthquake
200,60.2111,-144.9768,30.9964,1663928532,785,5,-999,1.0559,-,regional earthquake (P-only location)
201,60.0216,-141.6039,31.2208,1663936465,786,4,1.96,0.1676,-,earthquake (small)
202,60.0641,-141.3737,16.6507,1663947834,787,5,1.97,0.4025,-,earthquake
203,59.3565,-141.5508,99.9511,1663958067,788,5,2.41,0.6209,nT,teleseismic signal
205,61.0945,-141.408,1.1727,1664026715,790,10,1.61,0.7247,-,earthquake
206,61.1676,-144.8522,33.5862,1664032740,791,24,4.72,0.3812,-,earthquake (P-only location)
209,61.0946,-141.4068,1.5052,1664095977,794,9,1.66,0.6808,-,earthquake
211,61.0762,-141.2061,19.7048,1664129070,796,4,-999,0.2113,-,earthquake
213,60.6698,-142.3748,34.2455,1664186939,798,6,1.79,0.3312,lf_G,low-frequency Glacial-quake
214,60.5542,-143.6722,32.02,1664188158,799,5,1.27,0.3431,-,earthquake
216,60.7027,-144.0395,32.3818,1664215673,801,4,1.28,0.1476,nT,teleseismic signal
217,60.7638,-142.9634,30.9499,1664236539,802,8,-999,0.6358,-,regional earthquake (P-only location)
218,60.9457,-144.7597,15.6221,1664253766,803,4,-999,0.1461,-,earthquake
219,60.9291,-144.9991,0.3117,1664267086,804,4,1.54,0.9108,-,earthquake
220,60.5718,-143.8331,2.2528,1664267146,805,4,1.56,0.8953,n,"""phantom event"" on regional signal — Sn/Sg phase arrials"
222,60.7161,-144.5113,15.9809,1664291270,807,5,-999,0.1505,-,regional earthquake (P-only location)
223,60.5831,-144.6873,0.3463,1664296244,808,15,1.42,1.8612,-,earthquake (high residual location)
224,61.0808,-141.4024,1.2815,1664311836,809,18,2.17,0.8317,-,earthquake
227,60.5273,-142.425,35.2151,1664328278,812,6,1.14,0.7259,nT,teleseismic signal
228,59.8106,-140.4296,13.0673,1664328269,813,4,-999,0.4849,D,duplicate of evid #812
233,60.4445,-142.2499,42.4707,1664348037,818,9,1.36,0.9747,nT,teleseismic signal
234,60.7074,-142.9759,99.9846,1664348031,819,5,1.82,0.5074,D,duplicate of evid #818
235,60.4892,-138.9409,15.5167,1664348026,820,4,1.8,0.3068,D,duplicate of evid #818
236,60.4938,-142.9401,19.4253,1664359778,821,7,0.59,0.3788,-,earthquake
239,60.0303,-141.9084,31.2717,1664383445,824,6,1.43,1.4048,lf_G,low-frequency Glacial-quake
243,60.3003,-143.2254,10.8571,1664409333,828,10,1.32,1.0557,-,earthquake
245,61.0859,-144.3319,30,1664414752,830,5,-999,-1,-,earthquake
246,61.268,-141.185,25.4988,1664416606,831,5,1.35,0.6286,-,earthquake
247,60.2406,-138.9744,35.0141,1664421782,832,6,2.78,0.8385,nT,teleseismic signal
248,60.5548,-139.0922,36.4953,1664425864,833,4,1.86,0.9831,n,combined impulsive noise — possibly decaying teleseismic
250,60.1358,-142.4087,35.3883,1664473867,835,6,1.77,0.9231,-,earthquake
252,60.7677,-143.998,100,1664490873,837,5,1.92,1.4116,lf_G,low-frequency Glacial-quake
256,60.3962,-143.2582,2.7812,1664497627,842,7,1.38,0.9403,-,earthquake (small)
260,60.4521,-142.8809,43.965,1664580285,847,8,2.06,0.8767,D,duplicate of MATCHED evid #846 (regional earthquake)
262,61.1962,-143.0306,51.219,1664587673,849,12,2.41,0.7077,nT,teleseismic signal
263,61.1114,-138.6355,23.0806,1664587658,850,7,2.66,1.0854,D,duplicate of evid #849
265,60.3632,-142.8594,1.0101,1664593693,852,4,1.87,0.5191,-,earthquake (P-only location)
266,60.6737,-143.4436,34.6195,1664594227,853,7,1.17,1.1,-,earthquake
267,60.8443,-143.3587,7.9696,1664597120,854,5,1.89,0.1809,nT,teleseismic signal
269,60.9003,-144.6627,26.054,1664604782,856,9,1.97,0.9249,n,"""phantom event"" on regional signal — Pn/Pg phase arrials"
270,61.0503,-143.9253,0,1664604795,858,5,2.02,0.7006,n,"""phantom event"" on regional signal — Sn/Sg phase arrials"
274,60.8486,-144.5608,99.9138,1664637145,862,11,1.96,0.8882,nT,teleseismic signal
277,60.4616,-144.3579,100,1664677503,865,17,2.07,1.999,nT,teleseismic signal
279,61.1516,-144.4833,100,1664697108,869,7,2.35,1.2987,nT,teleseismic signal
282,60.6046,-141.7919,35.2951,1664717113,872,9,2.26,0.7224,nT,teleseismic signal
284,60.6817,-144.8308,28.7578,1664744126,874,4,1.86,0.9837,-,earthquake
286,60.5905,-144.4635,15.2086,1664755630,876,9,2.36,0.5801,-,"earthquake (regional, P-only location)"
288,60.9916,-144.5601,16.8553,1664804360,878,4,-999,0.2286,-,earthquake (P-only location)
289,59.3249,-141.2209,44.4988,1664805823,879,18,2.25,1.0312,-,earthquake
295,60.9164,-144.4073,4.4172,1664848262,885,4,0.9,0.6621,-,"earthquake (regional, P-only location)"
301,60.6423,-142.1725,1.9869,1664899343,892,5,1.38,1.132,D,duplicate of MATCHED evid #891
302,60.9368,-144.7779,16.8586,1664909980,895,14,1.93,0.7129,-,earthquake
305,61.4735,-140.4662,18.3093,1664958475,899,17,2.9,0.8838,-,regional earthquake (P-only location)
306,59.4866,-140.9388,10.5426,1664959085,900,10,2.37,1.0991,nT,teleseismic signal
307,61.0036,-141.8396,24.9189,1664958487,901,8,2.51,1.0075,D,duplicate of evid #899
308,60.4692,-142.6277,12.2584,1664959096,902,5,2.01,0.236,D,duplucate of evid #900
309,60.9886,-144.4178,17.875,1664964136,903,10,2.33,0.5741,-,earthquake
310,59.8808,-142.3735,14.5971,1664964138,904,7,2.09,0.3267,D,duplicate of evid #904
311,59.6069,-141.2479,65.4519,1664987801,905,11,2.26,0.8327,nT,teleseismic signal
312,61.1347,-140.1465,41.9397,1664987804,906,5,2.15,0.4421,D,duplicate of evid #905
313,60.696,-143.7373,39.0437,1664994991,907,5,1.43,0.4244,nT,teleseismic signal
315,60.7624,-142.5696,53.7876,1665022913,910,6,-999,0.4732,nT,teleseismic signal
316,61.0623,-139.328,12.7917,1665029363,911,4,2.09,0.1953,n,combined impulsive noise — possibly decaying teleseismic
317,60.8432,-140.8672,9.7828,1665033524,912,22,3.97,0.9318,-,earthquake (P-only location)
318,60.8229,-142.2997,19.8742,1665033535,913,12,3.48,0.9645,D,duplicate of evid #912
319,61.044,-140.3024,0.1774,1665039562,914,11,1.98,0.8587,-,earthquake (P-only location)
320,60.9479,-140.8289,2.2406,1665040063,915,8,1.84,0.812,-,earthquake (P-only location)
321,60.91,-140.8214,5.7325,1665041478,916,16,2.32,0.8783,-,earthquake (P-only location)
322,61.0201,-140.3851,0.0227,1665042299,917,13,1.99,0.9843,-,earthquake (P-only location)
325,60.8568,-144.6255,98.965,1665074781,920,8,1.66,0.8812,nT,teleseismic signal
326,60.8011,-142.9568,1.5264,1665075559,921,4,-999,0.3074,-,regional earthquake (P-only location)
333,61.0457,-144.7612,24.7883,1665109406,929,10,1.63,0.9327,-,earthquake (P-only location)
334,60.7146,-144.6488,16.9653,1665112793,930,12,1.79,0.8309,-,regional earthquake (P-only location)
335,60.1195,-141.1039,18.8352,1665122389,931,4,0.68,0.0143,-,earthquake (small)
336,61.3957,-141.1178,12.5805,1665143756,932,12,2.02,0.792,-,earthquake (P-only location)
337,61.1903,-141.3737,15,1665145412,933,6,1.35,-1,-,earthquake (P-only location)
338,60.6692,-144.6736,11.2927,1665195316,934,9,1.56,0.5794,-,earthquake (P-only location)
339,60.4893,-142.8364,40,1665209857,935,6,1.57,-1,n,combined impulsive noise — possibly decaying teleseismic
341,60.4849,-143.1392,0.0438,1665249871,937,4,0.74,0.7362,-,earthquake (small)
342,60.1435,-141.025,21.3681,1665273415,938,4,1.01,0.0278,-,earthquake (small)
343,59.8591,-141.1873,33.5938,1665286719,939,15,3.08,0.9082,-,regional earthquake (P-only location)
344,59.6485,-138.6046,10.0036,1665286705,940,4,-999,0.7342,D,duplicate of evid #939
346,60.5879,-144.4486,23.3431,1665329937,942,5,1.81,1.1688,-,regional earthquake (P-only location)
