,lat,lon,depth,time,evid,nass,ml,sdobs,etype,Annotations
295,66.2984,-157.2005,12.7034,1549902585,2614,11,-999,0.4994,-,earthquake
296,66.2749,-157.1917,13.4672,1549902883,2615,12,-999,0.5514,-,earthquake
297,66.2824,-156.9828,19.4154,1549903561,2617,7,-999,0.4987,-,earthquake
298,66.1647,-158.2649,13.6167,1549907265,2618,9,-999,0.2701,-,earthquake — lots of clear detections missing
299,66.2831,-157.1994,13.3297,1549907708,2619,8,-999,0.2146,-,earthquake
300,66.2868,-157.1546,15.5194,1549908921,2620,7,-999,0.4157,-,earthquake
304,66.2846,-157.1862,12.3463,1549919556,2625,12,-999,0.4132,-,earthquake
305,66.2975,-157.2117,10.6117,1549925383,2626,5,-999,0.0511,-,earthquake
306,66.312,-157.1394,12.0268,1549925975,2627,8,-999,0.3905,-,earthquake
313,66.285,-157.1295,15.0841,1549942111,2637,8,-999,0.2812,-,earthquake
314,66.3056,-157.1859,12.0195,1549942148,2638,8,-999,0.3241,-,earthquake
317,66.3199,-157.2077,12.2858,1549946930,2643,6,-999,0.4292,-,earthquake
318,66.316,-157.1303,11.0752,1549947947,2644,6,-999,0.2767,-,earthquake
320,66.3285,-157.2068,1.4494,1549954914,2646,10,-999,0.7556,-,earthquake
321,66.2928,-157.1772,12.4303,1549955299,2647,8,-999,0.3912,-,earthquake
323,66.3052,-157.1352,14.4201,1549957599,2649,7,-999,0.1645,-,earthquake — lots of clear detections missing
326,66.3074,-157.1341,14.8203,1549962366,2654,7,-999,0.2428,-,earthquake
327,66.312,-157.2046,11.7605,1549963225,2655,7,-999,0.1951,-,earthquake
328,66.283,-157.1999,12.6315,1549967149,2656,9,-999,0.4904,-,earthquake
330,66.2867,-157.1205,15.2147,1549973746,2658,7,-999,0.1759,-,earthquake
331,66.2862,-157.2182,6.2928,1549973915,2659,7,-999,0.8095,-,earthquake
333,66.2988,-157.2143,13.8972,1549976755,2661,8,-999,0.539,-,earthquake
334,66.1672,-157.2415,2.7602,1549981368,2662,7,-999,1.1909,-,"earthquake — missing clear, impulsive P-arrivals"
339,66.0808,-157.2093,1.4461,1550017493,2667,8,-999,0.9442,-,earthquake
341,66.3159,-157.2194,10,1550023714,2669,7,-999,-1,-,earthquake
342,66.2155,-157.2462,0.1028,1550025015,2670,7,-999,0.6458,-,earthquake
343,66.3131,-157.2113,8.8843,1550025621,2671,9,-999,0.3327,-,earthquake
344,66.2911,-157.2192,12.4671,1550026653,2672,11,-999,0.4394,-,earthquake
347,66.3292,-157.1546,6.0953,1550029992,2675,8,-999,0.3112,-,"earthquake (two smaller, successive events not detected/lcoacted)"
349,66.3234,-157.1702,10.3897,1550032302,2678,10,-999,0.4943,-,earthquake
350,66.3107,-157.0721,11.1856,1550033057,2679,11,-999,0.4359,-,earthquake
352,66.3169,-157.0159,3.0696,1550033838,2682,10,-999,0.2404,-,earthquake
354,66.3265,-157.2164,9.9352,1550039857,2686,10,-999,0.5196,-,earthquake
355,66.3157,-157.1963,10.3751,1550041263,2687,7,-999,0.1059,-,earthquake
357,66.2996,-157.1907,8.0363,1550042378,2690,7,-999,0.2029,-,earthquake (small)
360,66.0982,-157.1917,0,1550054337,2693,5,-999,0.5376,-,"earthquake (small, low SNR)"
362,66.2126,-157.1897,9.6073,1550062873,2695,5,-999,0.2997,-,earthquake
363,66.3042,-157.2052,9.9464,1550067312,2696,9,-999,0.2947,-,earthquake (low SNR)
369,66.2145,-157.215,0,1550075285,2704,7,-999,0.7179,-,earthquake
372,66.0172,-158.2154,11.3112,1550078854,2707,7,-999,1.3437,-,earthquake (low SNR)
374,66.3101,-157.2177,11.8937,1550083712,2709,10,-999,0.5146,-,earthquake
376,66.1021,-157.1912,0,1550085375,2711,6,-999,0.8387,-,earthquake (low SNR)
377,66.1083,-157.127,0,1550087600,2712,7,-999,0.9426,-,earthquake (low SNR)
378,66.197,-157.2261,0.0717,1550088430,2713,7,-999,0.7553,-,earthquake — lots of clear detections missing
379,66.2883,-157.2763,1.1573,1550088674,2714,8,-999,0.447,-,earthquake — lots of clear detections missing
381,66.3532,-157.0186,3.8329,1550093555,2716,6,-999,0.5117,-,earthquake (porceeds similar undetected/unlocated event)
382,66.2428,-157.3731,9.7604,1550098269,2717,7,-999,0.2681,-,earthquake (low SNR)
383,66.296,-157.2121,9.339,1550101165,2718,8,-999,0.4806,-,earthquake
384,66.33,-157.225,13.4667,1550101226,2719,6,-999,0.5489,-,earthquake
385,66.2799,-157.2021,11.3884,1550101501,2720,9,-999,0.3378,-,earthquake
386,66.2922,-157.2106,10.2949,1550101672,2721,10,-999,0.2731,-,earthquake
387,66.3335,-157.1859,8.6286,1550102926,2722,9,-999,0.6903,-,earthquake
388,66.0812,-158.1654,6.6681,1550111543,2723,6,-999,0.3558,-,earthquake (small)
390,66.2482,-157.3934,7.5857,1550113738,2725,11,-999,0.5738,-,earthquake
392,66.106,-157.2335,0.5145,1550117051,2728,6,-999,1.055,-,"earthquake (small, low SNR)"
398,66.2937,-157.202,10.0408,1550125803,2735,8,-999,0.2196,-,"earthquake (small, low SNR)"
401,66.093,-157.1976,0.5611,1550129943,2738,7,-999,1.096,-,earthquake
404,66.3024,-157.1445,13.8136,1550136918,2741,8,-999,0.6972,-,earthquake
408,66.294,-157.1949,9.4674,1550142896,2747,7,-999,0.1625,-,earthquake
412,66.1024,-157.2258,0,1550153815,2751,8,-999,0.9031,-,earthquake
415,66.3065,-157.1962,6.1928,1550161022,2754,9,-999,0.6544,-,earthquake
416,66.3092,-157.1987,9.5427,1550161586,2755,7,-999,0.1018,-,earthquake
417,66.2716,-157.2082,9.2058,1550163590,2756,7,-999,0.7918,-,earthquake
419,66.1295,-157.2415,0.0316,1550169305,2758,6,-999,0.7886,-,"earthquake (small, low SNR)"
422,66.3189,-157.2175,8.9575,1550196324,2761,7,-999,0.2302,-,"earthquake (small, low SNR)"
424,66.3098,-157.1837,11.2448,1550204248,2763,9,-999,0.2514,-,earthquake
426,66.0671,-157.1158,15.284,1550205143,2766,7,-999,0.1756,-,earthquake
430,66.2633,-157.2606,9.9453,1550212851,2772,8,-999,0.0374,-,earthquake (small)
431,66.3002,-157.2033,9.5257,1550213529,2773,7,-999,0.7368,-,earthquake (small)
440,66.3102,-157.2081,8.7563,1550230079,2784,7,-999,0.2981,-,earthquake
441,66.0932,-157.2139,0.5362,1550230685,2786,9,-999,1.3259,-,earthquake
442,66.3475,-157.1913,3.3768,1550232128,2787,6,-999,0.4136,-,"earthquake — several unpromoted detections, also missing many clear phase arrivals"
443,66.1974,-157.2608,2.4306,1550234515,2788,10,-999,0.8033,-,earthquake — lots of clear detections missing
445,66.3047,-157.2448,4.1337,1550234682,2790,7,-999,0.2681,-,earthquake — lots of clear detections missing (plus event in coda undetected)
449,66.3255,-157.1952,0.0198,1550242121,2795,7,-999,0.5112,-,earthquake
452,66.1862,-157.225,0.1465,1550246561,2799,6,-999,0.7754,-,earthquake
457,66.32,-157.2219,9.1427,1550249529,2804,8,-999,0.512,-,earthquake (small)
462,66.2509,-157.1948,11.5937,1550257143,2810,11,-999,1.0291,-,earthquake
468,66.289,-157.187,12.0095,1550264272,2816,8,-999,0.2555,-,earthquake
469,66.3199,-157.1874,11.2133,1550264688,2817,8,-999,0.5616,-,earthquake
471,66.323,-157.1584,11.2914,1550265647,2820,12,-999,0.5186,-,earthquake
476,66.1804,-158.1487,0.6172,1550272092,2827,8,-999,0.5775,-,earthquake
488,66.3063,-157.2124,11.7969,1550274858,2843,10,-999,0.618,-,earthquake (proceeds two larger events)
495,66.3365,-157.1865,0.1738,1550279648,2853,5,-999,0.2711,-,earthquake (missing many detections + combined with overlapping regional event)
501,66.4379,-157.2557,15.2216,1550288591,2859,5,-999,0.3189,-,"earthquake (small, low SNR)"
504,66.3535,-157.1686,1.65,1550293969,2862,7,-999,0.6114,-,earthquake
511,66.381,-157.1878,10.9006,1550306692,2869,7,-999,0.512,-,earthquake
513,66.2701,-157.2624,13.1481,1550307532,2871,9,-999,0.7501,-,earthquake (small)
515,66.3137,-157.2192,11.9972,1550319124,2873,9,-999,0.5695,-,"earthquake (small, low SNR)"
516,66.0904,-157.2144,0.4948,1550320544,2874,9,-999,0.9892,-,earthquake
520,66.3163,-157.2181,10.3148,1550330175,2878,9,-999,0.3429,-,earthquake
523,66.3017,-157.2107,11.3739,1550337742,2882,6,-999,0.5955,-,"earthquake (small, low SNR)"
527,66.0974,-157.1901,0.0359,1550350374,2886,5,-999,0.4924,-,"earthquake (small, low SNR)"
531,66.225,-157.2331,10.1184,1550353891,2890,5,-999,0.2133,-,"earthquake (small, low SNR)"
536,66.1684,-157.2793,1.4065,1550364053,2896,7,-999,0.8705,-,earthquake
537,66.315,-157.1828,10.8623,1550374623,2897,10,-999,0.5978,-,earthquake
539,66.2965,-157.2118,0.022,1550378516,2899,14,-999,0.7956,-,earthquake
542,66.2177,-158.3056,16.6537,1550380783,2903,9,-999,0.9481,-,earthquake
543,66.3143,-157.2186,12.4549,1550385707,2905,7,-999,0.1892,-,earthquake
545,66.3272,-157.2237,9.7683,1550398426,2907,11,-999,0.6539,-,earthquake
546,66.3041,-157.1889,8.3533,1550402475,2908,8,-999,0.2127,-,earthquake
549,66.3115,-157.218,10.689,1550415275,2911,12,-999,0.3226,-,earthquake
551,66.3349,-157.2286,0.0988,1550420246,2913,9,-999,0.616,-,"earthquake — missing clear, impulsive phase arrivals"
553,66.288,-157.1951,8.6072,1550425745,2915,8,-999,0.3247,-,earthquake
556,66.2955,-157.1671,12.0715,1550436782,2918,8,-999,0.4168,-,earthquake
557,66.3073,-157.1927,8.445,1550440250,2919,7,-999,0.4254,-,earthquake
558,66.2708,-157.1889,9.802,1550440673,2920,5,-999,0.1297,-,earthquake
559,66.3001,-157.1992,9.6377,1550443466,2921,8,-999,0.1232,-,earthquake
560,66.3435,-157.2229,10.5639,1550444431,2922,13,-999,0.5993,-,earthquake
568,66.2918,-157.2397,0.0735,1550453516,2934,8,-999,0.4682,-,earthquake
571,66.2698,-157.23,7.9279,1550458992,2939,11,-999,1.0328,-,"earthquake (in coda of preceeding, larger event)"
572,66.2904,-157.2515,11.1711,1550462027,2940,11,-999,0.9567,-,earthquake
573,66.3125,-157.1954,8.9802,1550464413,2941,9,-999,0.5977,-,earthquake
575,66.3125,-157.2168,6.459,1550470355,2943,9,-999,0.4936,-,earthquake
577,66.3008,-157.2059,9.2237,1550471441,2945,7,-999,0.0943,-,earthquake
580,66.3287,-157.1806,9.1425,1550478430,2948,6,-999,0.1816,-,earthquake
586,66.2162,-157.1991,15,1550494381,2955,5,-999,-1,-,earthquake
587,66.5556,-157.777,0.0393,1550496119,2956,4,-999,0.8702,-,"earthquake (regional signal, very few arrivals)"
588,66.3123,-157.2134,0.0115,1550497196,2957,10,-999,0.5063,-,"earthquake — missing clear, impulsive phase arrivals"
589,66.3696,-157.1984,12.4039,1550500151,2959,9,-999,0.9758,-,earthquake
597,66.281,-157.3844,12.0469,1550513693,2968,10,-999,0.867,-,earthquake
600,66.3071,-157.2109,11.4419,1550517493,2972,6,-999,0.1117,-,earthquake
601,66.179,-157.3024,0,1550520181,2973,7,-999,0.6167,-,earthquake
605,66.2998,-157.1913,11.3471,1550531115,2977,17,-999,0.5724,-,earthquake
606,66.2694,-157.2526,11.157,1550533471,2979,10,-999,0.4586,-,earthquake
608,66.3048,-157.2134,10.1955,1550535627,2981,14,-999,0.7123,-,earthquake
609,66.3058,-157.2873,11.9234,1550538942,2982,10,-999,0.2625,-,earthquake
613,66.2771,-157.2801,0.8262,1550551052,2987,8,-999,0.2575,-,"earthquake — missing clear, impulsive phase arrivals"
614,66.3247,-157.2192,0,1550558930,2988,6,-999,0.1504,-,"earthquake (small, low SNR)"
