,lat,lon,depth,time,evid,nass,ml,sdobs,etype,Annotations
346,66.2388,-157.0987,6.38,1550031087,1499,6,-999,0.6085,-,earthquake
375,66.2205,-157.003,5.0448,1550092861,1534,8,-999,0.6068,-,earthquake
380,66.1299,-159.4123,0.0802,1550112718,1539,4,-999,0.4251,n,impulsive noise
400,66.1499,-157.732,29.0003,1550170779,1565,5,-999,0.6285,-,earthquake — very messy signals (possibly two overlapping)
409,66.231,-156.9554,0,1550204573,1574,6,-999,0.7974,-,earthquake
413,66.5114,-158.003,3.3615,1550208257,1578,4,-999,0.5017,-,earthquake (P-only location)
416,66.3043,-157.2683,13.5253,1550214602,1582,9,-999,0.4742,-,earthwuake (larger event)
439,66.7705,-158.0789,0.0854,1550255024,1610,4,-999,0.7842,n,"impulsive, long-period noise"
451,66.2198,-158.3996,0,1550272092,1629,8,-999,0.6613,-,earthquake
490,66.2855,-157.2259,11.825,1550360446,1679,10,-999,1.0134,-,earthquake
499,66.7835,-159.0572,31.2601,1550411287,1688,5,-999,0.9491,-,earthquake
503,66.2188,-157.2683,0,1550420247,1692,10,-999,0.464,-,earthquake
507,66.3329,-159.2585,99.9801,1550432040,1696,5,-999,0.4204,n,"impulsive, low-frequency noise"
510,66.3471,-157.2556,10.581,1550444431,1699,9,-999,0.6645,-,earthquake
526,66.2497,-157.3825,0.2355,1550471028,1719,10,-999,0.9576,-,earthquake
544,66.2458,-157.2063,2.805,1550551054,1743,12,-999,0.7117,-,earthquake
546,66.4297,-159.4721,44.68,1550564538,1746,5,-999,0.6188,n,"possibly telesismic or ""regionally teleseismic"" signal"
584,66.496,-158.2815,54.3416,1550633293,1793,4,-999,0.4588,-,"earthquake (regional), P-only location, poor location"
587,66.7007,-158.0571,24.458,1550634609,1796,6,-999,0.945,nT,teleseismic signal
590,66.2243,-157.2181,0.0013,1550649188,1799,9,-999,0.466,-,earthquake
591,66.2873,-157.339,0.0793,1550651350,1800,8,-999,1.3024,-,earthquake
607,66.6728,-157.0335,14.9038,1550717038,1818,5,-999,0.5016,n,"impulsive, low-frequency noise (possibly decaying teleseismic signal)"
608,66.1818,-159.154,14.5774,1550717039,1819,4,-999,0.2403,D,duplicate of evid #1818 (derived from the same signal)
609,66.2927,-157.1699,11.4991,1550722291,1820,8,-999,0.1653,-,earthquake
617,66.4009,-158.4772,69.7573,1550746973,1830,5,-999,0.9791,n,possibly decaying regional event (or teleseismic event)
622,66.3156,-157.2235,20.4153,1550753994,1837,10,-999,0.5102,-,earthquake
